year,sex,money_measure,education,avg_income,color,idtf,error
2002,Female,Constant 2019 Dollars,High school completion,35790,steelblue,Female High school completion (includes equivalency),(172)
2003,Female,Constant 2019 Dollars,High school completion,36240,steelblue,Female High school completion (includes equivalency),(164)
2004,Female,Constant 2019 Dollars,High school completion,35230,steelblue,Female High school completion (includes equivalency),(157)
2005,Female,Constant 2019 Dollars,High school completion,34410,steelblue,Female High school completion (includes equivalency),(175)
2006,Female,Constant 2019 Dollars,High school completion,33910,steelblue,Female High school completion (includes equivalency),(172)
2007,Female,Constant 2019 Dollars,High school completion,33590,steelblue,Female High school completion (includes equivalency),(164)
2008,Female,Constant 2019 Dollars,High school completion,33700,steelblue,Female High school completion (includes equivalency),(336)
2009,Female,Constant 2019 Dollars,High school completion,34740,steelblue,Female High school completion (includes equivalency),(325)
2010,Female,Constant 2019 Dollars,High school completion,35010,steelblue,Female High school completion (includes equivalency),(305)
2011,Female,Constant 2019 Dollars,High school completion,34110,steelblue,Female High school completion (includes equivalency),(165)
2012,Female,Constant 2019 Dollars,High school completion,33860,steelblue,Female High school completion (includes equivalency),(184)
2013,Female,Constant 2019 Dollars,High school completion,33800,steelblue,Female High school completion (includes equivalency),(190)
2014,Female,Constant 2019 Dollars,High school completion,33100,steelblue,Female High school completion (includes equivalency),(163)
2015,Female,Constant 2019 Dollars,High school completion,33710,steelblue,Female High school completion (includes equivalency),(149)
2016,Female,Constant 2019 Dollars,High school completion,33600,steelblue,Female High school completion (includes equivalency),(162)
2017,Female,Constant 2019 Dollars,High school completion,33630,steelblue,Female High school completion (includes equivalency),(208)
2018,Female,Constant 2019 Dollars,High school completion,33210,steelblue,Female High school completion (includes equivalency),(480)
2019,Female,Constant 2019 Dollars,High school completion,35100,steelblue,Female High school completion (includes equivalency),(307)
1990,Male,Current Dollars,"Some college, no degree",31730,darkred,"Male Some college, no degree",(---)
1995,Male,Current Dollars,"Some college, no degree",33880,darkred,"Male Some college, no degree",(517)
2000,Male,Current Dollars,"Some college, no degree",40340,darkred,"Male Some college, no degree",(312)
2001,Male,Current Dollars,"Some college, no degree",41050,darkred,"Male Some college, no degree",(214)
2002,Male,Current Dollars,"Some college, no degree",40850,darkred,"Male Some college, no degree",(195)
2003,Male,Current Dollars,"Some college, no degree",41350,darkred,"Male Some college, no degree",(182)
2004,Male,Current Dollars,"Some college, no degree",41900,darkred,"Male Some college, no degree",(175)
2005,Male,Current Dollars,"Some college, no degree",42420,darkred,"Male Some college, no degree",(323)
2006,Male,Current Dollars,"Some college, no degree",43830,darkred,"Male Some college, no degree",(812)
2007,Male,Current Dollars,"Some college, no degree",44900,darkred,"Male Some college, no degree",(585)
2008,Male,Current Dollars,"Some college, no degree",45820,darkred,"Male Some college, no degree",(276)
2009,Male,Current Dollars,"Some college, no degree",47100,darkred,"Male Some college, no degree",(347)
2010,Male,Current Dollars,"Some college, no degree",46430,darkred,"Male Some college, no degree",(348)
2011,Male,Current Dollars,"Some college, no degree",47070,darkred,"Male Some college, no degree",(78)
2012,Male,Current Dollars,"Some college, no degree",47190,darkred,"Male Some college, no degree",(407)
2013,Male,Current Dollars,"Some college, no degree",47650,darkred,"Male Some college, no degree",(739)
2014,Male,Current Dollars,"Some college, no degree",46900,darkred,"Male Some college, no degree",(429)
2015,Male,Current Dollars,"Some college, no degree",49670,darkred,"Male Some college, no degree",(708)
2016,Male,Current Dollars,"Some college, no degree",49240,darkred,"Male Some college, no degree",(784)
2017,Male,Current Dollars,"Some college, no degree",50850,darkred,"Male Some college, no degree",(274)
2018,Male,Current Dollars,"Some college, no degree",51690,darkred,"Male Some college, no degree",(291)
2019,Male,Current Dollars,"Some college, no degree",53810,darkred,"Male Some college, no degree","(1,484)"
1990,Female,Current Dollars,"Some college, no degree",22230,steelblue,"Female Some college, no degree",(---)
1995,Female,Current Dollars,"Some college, no degree",24000,steelblue,"Female Some college, no degree",(274)
2000,Female,Current Dollars,"Some college, no degree",28700,steelblue,"Female Some college, no degree",(364)
2001,Female,Current Dollars,"Some college, no degree",30420,steelblue,"Female Some college, no degree",(186)
2002,Female,Current Dollars,"Some college, no degree",29400,steelblue,"Female Some college, no degree",(299)
2003,Female,Current Dollars,"Some college, no degree",30140,steelblue,"Female Some college, no degree",(176)
2004,Female,Current Dollars,"Some college, no degree",30820,steelblue,"Female Some college, no degree",(135)
2005,Female,Current Dollars,"Some college, no degree",31400,steelblue,"Female Some college, no degree",(165)
